Current Kubernetes Context: mps-mde-k8s-prd-canc-5
namespace : tvm
+------------------------------------------------+------------------------------------------------------------------------+--------------+---------+--------+
|                         Service (Release) name |                                                              Node type | Max replicas |  Memory |    CPU |
| cloud-telemetryfrontend-responses        | Standard_D32s_v3                                                      | 20           | 6Gi     | 2      |
| geneva-logger-cloud                      | {}                                                                    | {}           |         |        |
| ine-hunting-msgraph                      | Standard_D32s_v3                                                      | 8            | 8Gi     | 2      |
| keyvault-watcher-cloud                   | {}                                                                    | {}           |         |        |
| mde-deviceconfigurationmanagement        | Standard_D32s_v3                                                      | 4            | 4096Mi  | 1      |
| response-actionsstate-processor          | Standard_D32s_v3                                                      | 1200         | 4Gi     | 2      |
| response-general-functions               | Standard_D32s_v3                                                      | 20           | 16Gi    | 4      |
+------------------------------------------+-----------------------------------------------------------------------+--------------+---------+--------+
namespace : detection
+------------------------------------------+------------------------------------------------+--------------+----------+--------+
|                   Service (Release) name |                                      Node type | Max replicas |   Memory |    CPU |
+------------------------------------------+------------------------------------------------+--------------+----------+--------+
| alert-merge-service                      | Standard_D64s_v3                               | 20           | 29440Mi  | 7      |
| alertexperience-api                      | Standard_D32s_v3                               | 20           | 27130Mi  | 6620m  |
| alertexperience-prefetcher               | Standard_D64s_v3                               | 20           | 29440Mi  | 7      |
| alertpersistor-external                  | Standard_D64s_v3                               | 10           | 6970Mi   | 1370m  |
| alertpersistor-internal                  | Standard_D64s_v3                               | 10           | 6970Mi   | 1370m  |
| alertstatuspersistor                     | Standard_D64s_v3                               | 8            | 6970Mi   | 1370m  |
| alerttracking-k8s                        | Standard_D64s_v3                               | {}           | 6970Mi   | 1370m  |
| cyberdatacurator                         | Standard_D32s_v3                               | 100          | 32660Mi  | 13750m |
| cyberdatapersistor                       | Standard_D32s_v3                               | 40           | 27130Mi  | 6620m  |
| deepanalysis-api                         | Standard_D32s_v3                               | 6            | 27130Mi  | 6620m  |
| deepanalysis-orchestrator                | Standard_D32s_v3                               | 6            | 27130Mi  | 6620m  |
| deepengine-experimental                  | Standard_E48s_v3                               | 150          | 57900Mi  | 6160m  |
| deepengine-experimentalretrigger         | Standard_E48s_v3                               | 150          | 57900Mi  | 6160m  |
| deepengine-highpriority                  | Standard_E48s_v3                               | 150          | 57900Mi  | 6160m  |
| deepengine-highpriorityretrigger         | Standard_E48s_v3                               | 150          | 57900Mi  | 6160m  |
| deepengine-stable                        | Standard_E48s_v3                               | 150          | 57900Mi  | 6160m  |
| deepengine-stableretrigger               | Standard_E48s_v3                               | 150          | 57900Mi  | 6160m  |
| detection-cyberprofileprovider-api       | Standard_D32s_v3                               | 20           | 13310Mi  | 3060m  |
| detection-cyberprofilereader             | Standard_D32s_v3                               | {}           | 6400Mi   | 1380m  |
| detection-profileenricher                | Standard_D64s_v3                               | 250          | 29440Mi  | 7      |
| detection-robusta-scalecontroller        | Standard_D32s_v3                               | 5            | 13310Mi  | 3060m  |
| detectionengine                          | Standard_D32s_v3                               | 120          | 54780Mi  | 13750m |
| detectionmanager                         | Standard_D64s_v3                               | 150          | 29610Mi  | 7300m  |
| dtc-robustaeval-experimental             | Standard_D32s_v3                               | 60           | 6520Mi   | 1330m  |
| dtc-robustaeval-stable                   | Standard_D32s_v3                               | 60           | 6520Mi   | 1330m  |
| entitiesexperience                       | Standard_D32s_v3                               | {}           | 27130Mi  | 6620m  |
| geneva-logger-detection                  | {}                                             | {}           |          |        |
| globalprofilesynchronizer                | Standard_D64s_v3                               | 40           | 6144Mi   | 3      |
| globalprofilesynchronizer-estimator      | Standard_D64s_v3                               | 2            | 1024Mi   | 2      |
| hourlycyberdatacurator                   | Standard_D64s_v3                               | 10           | 59390Mi  | 14500m |
| keyvault-watcher-detection               | {}                                             | {}           |          |        |
| polaris-obs-mde-ext-kc-obs-mde-ext-dr-kc | Standard_E48s_v3                               | 32           | 60110Mi  | 7110m  |
| polaris-obs-mde-ext-kc-obs-mde-ext-kc    | Standard_E48s_v3                               | 32           | 60110Mi  | 7110m  |
| observationengine                        | Standard_E48s_v3                               | 350          | 120320Mi | 14330m |
| pivotengine                              | Standard_D32s_v3                               | 10           | 6400Mi   | 1280m  |
| profilechangesdispatcher                 | Standard_D64s_v3                               | 40           | 29440Mi  | 7      |
| profileprocessor-detectionbased          | Standard_D64s_v3                               | 100          | 14460Mi  | 3350m  |
| profileprocessor-entity                  | Standard_E48s_v3                               | 140          | 59900Mi  | 6910m  |
| profileprocessor-external                | Standard_D32s_v3                               | 100          | 27130Mi  | 6720m  |
| profileprocessor-freeform                | Standard_E48s_v3                               | 300          | 120320Mi | 14330m |
| profilesnapshotwriter                    | Standard_D64s_v3                               | 40           | 29440Mi  | 7      |
| scrubbedcyberdatareader                  | {'Standard_D64s_v3': 1, 'Standard_E48s_v3': 1} | 5            | 3840Mi   | 800m   |
| securityobservationrouter                | Standard_D64s_v3                               | 50           | 29440Mi  | 7300m  |
| senseexclusionexperience-api             | Standard_D32s_v3                               | {}           | 13310Mi  | 3060m  |
| singeltonstoblobwriter                   | Standard_D64s_v3                               | 40           | 29440Mi  | 7      |
| timelineexperience-api                   | Standard_D32s_v3                               | 20           | 27130Mi  | 6620m  |
| timelineexperience-prefetcher            | Standard_D64s_v3                               | 20           | 29440Mi  | 7      |
+------------------------------------------+------------------------------------------------+--------------+----------+--------+
namespace : ndr
+-------------------------------------------+-----------------------------------------------------------------------+--------------+--------+------+
|                    Service (Release) name |                                                             Node type | Max replicas | Memory |  CPU |
+-------------------------------------------+-----------------------------------------------------------------------+--------------+--------+------+
| geneva-logger-ndr                         | {}                                                                    | {}           |        |      |
| keyvault-watcher-ndr                      | {}                                                                    | {}           |        |      |
